trialnr	trialtype	response	RT	correct	
1	left	left	1301.96690559	1	
2	right	right	369.076013565	1	
3	left	right	387.273788452	0	
4	right	right	0.093936920166	1	
5	right	left	0.0920295715332	0	
6	right	left	1068.22705269	0	
7	left	left	0.150918960571	1	
8	left	left	1103.19805145	1	
9	right	right	1515.32793045	1	
10	right	None	2000.01692772	0	
11	left	None	2000.00905991	0	
12	left	None	2000.02503395	0	
13	left	None	2000.03099442	0	
14	left	None	2000.01907349	0	
15	left	None	2000.01811981	0	
16	right	None	2000.02813339	0	
17	left	None	2000.01597404	0	
18	left	None	2000.02193451	0	
19	left	None	2000.01120567	0	
20	right	None	2000.02503395	0	
