trialnr	trialtype	endpos	latency	correct	
1	left	(482.0, 525.0)	343.014046069	1	
2	left	(490.0, 532.0)	344.653007023	1	
3	left	(1598.0, 526.0)	210.100693691	0	
4	right	(1436.0, 530.0)	378.602211281	1	
5	left	(521.0, 510.0)	386.699294171	1	
6	right	(1405.0, 545.0)	403.399471856	1	
7	right	(1395.0, 514.0)	377.89629344	1	
8	right	(961.0, 505.0)	35.3637172509	1	
9	left	(474.0, 521.0)	306.525857922	1	
10	left	(508.0, 533.0)	312.204882167	1	
11	left	(505.0, 524.0)	353.941493601	1	
12	right	(1445.0, 511.0)	363.163939825	1	
13	left	(1493.0, 516.0)	357.313121415	0	
14	left	(598.0, 514.0)	334.76569507	1	
15	right	(1436.0, 509.0)	324.441981318	1	
16	right	(1477.0, 506.0)	313.472589237	1	
17	left	(476.0, 540.0)	326.096559922	1	
18	right	(1451.0, 508.0)	378.234527147	1	
19	right	(1435.0, 512.0)	323.355439003	1	
20	left	(1379.0, 512.0)	441.015700648	0	
